Nom,Acides gras saturés,Acides organiques,Acides phénoliques,Autres polyphénols,Calcium,Cuivre,Eau,Equivalent Vitamine A,Fer,Fibres,Flavonoides,Glucides,Iode,Lignanes,Lipides,Magnésium,Manganèse,Phosphore,Polyphénols totaux,Potassium,Protéines,Provitamine A Béta-carotène,Sodium,Stilbènes,Sucre,Sélénium,Vitamine B1,Vitamine B2,Vitamine B3,Vitamine B5,Vitamine B6,Vitamine B9,Vitamine C,Vitamine E,Zinc
11,0.058,1.4,0.005,0.0,0.0254,6.3e-05,87.9,0.0,0.00033,4.03,0.00868,4.83,3e-07,0.0,0.59,0.009000000000000001,0.00016,0.0262,0.01368,0.187,0.8,0.0,0.0015,0.0,0.0,6.8e-08,3.3e-05,2.9000000000000004e-05,0.00029,0.00029,4.8e-05,8.85e-06,0.029,0.00069,0.00014000000000000001
12,0.028,1.37,0.0029,0.0,0.006,5.7e-05,84.2,5.34e-06,0.00028000000000000003,2.4,0.00127,10.6,5e-07,0.0,0.33,0.006,0.00034,0.012,0.00484,0.077,0.87,3.2e-05,0.001,0.00067,9.96,0.0,3.7e-05,4.1e-05,0.00042,0.00012,5.2e-05,6e-06,0.0097,0.00057,0.00016
14,0.099,0.0,0.0,0.028800000000000003,0.005,0.00015,81.8,0.0,0.00031,1.3,0.0,15.2,8e-07,0.0,0.42,0.01,5.5e-05,0.031,0.028800000000000003,0.171,0.76,0.0,0.001,0.0,15.2,0.0,1.1e-05,6.500000000000001e-05,0.0006,0.0,0.0001,1.4e-05,0.07150000000000001,0.0,7.000000000000001e-05
15,0.00439,1.27,0.0,0.0,0.0,8e-05,82.7,3.3329999999999994e-05,0.0,2.3,0.0,12.4,1e-06,0.0,0.2,0.0,8.999999999999999e-05,0.0,0.0,0.0,0.72,0.00019999999999999998,0.0,0.0,0.0,1.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
16,0.087,0.0,0.0,0.0,0.0223,3.1e-05,87.8,4.567e-05,0.00048,1.9,0.0,9.9,8e-07,2e-06,0.28,0.021500000000000002,2.6e-05,0.010199999999999999,2e-06,0.19,0.58,0.000274,0.006,0.0,7.46,0.0,2.5e-05,3e-05,0.00035,0.0002,2.9000000000000004e-05,4.7499999999999996e-05,0.0614,0.0,7.7e-05
17,0.0,0.0,0.0,0.0,0.0179,3.5000000000000004e-05,86.6,9.669999999999999e-06,8.999999999999999e-05,1.7,0.0,11.9,1.3e-05,0.0079,0.19,0.0123,1.8e-05,0.023,0.0079,0.147,0.8,5.8e-05,0.00111,0.0,9.18,9.999999999999999e-06,8.999999999999999e-05,5e-05,0.00015,0.0002,5e-05,9.999999999999999e-06,0.0187,0.0002,5.9e-05
18,0.067,1.13,0.0,0.0,0.0297,3.5000000000000004e-05,86.9,1.183e-05,8.9e-05,2.2,0.04493,7.92,3e-07,0.00393,0.36,0.012400000000000001,2.9000000000000004e-05,0.0181,0.04886,0.151,1.1,7.099999999999999e-05,0.00125,0.0,7.92,9.999999999999999e-06,8.7e-05,3.6e-05,0.00029,0.00022,7.099999999999999e-05,3.81e-05,0.057,0.00037,6.6e-05
19,0.018,0.0,0.012740000000000001,0.0,0.0131,2.6e-05,90.1,1.1699999999999998e-06,0.00017999999999999998,1.5,0.08447,6.14,6e-07,0.0,0.18,0.0141,0.0003,0.0234,0.09756000000000001,0.171,0.65,7e-06,0.00183,0.00035,4.73,9.999999999999999e-06,2.3e-05,2e-05,0.00049,0.00023,4.7000000000000004e-05,7.049999999999999e-05,0.0674,0.00037,0.00011
20,0.12,0.97,0.0,0.0,0.006500000000000001,0.00011,80.0,0.0,0.0003,2.3,0.0011,14.2,9e-07,0.0,0.74,0.0075,0.00012,0.022,0.0011,0.248,1.29,0.0,0.003,0.0,13.7,0.0,4.9000000000000005e-05,4.2000000000000004e-05,0.0003,0.00049,8.999999999999999e-05,3.7999999999999995e-05,0.008150000000000001,0.0006,0.00035
21,0.055,0.95,0.0878,0.0,0.015,8.8e-05,83.8,6.3299999999999995e-06,0.00017,1.7,0.18648,11.6,2e-07,0.0,0.25,0.0112,5.6e-05,0.0245,0.27427999999999997,0.2,1.16,3.7999999999999995e-05,0.002,0.0,11.6,9.999999999999999e-06,2.6e-05,3.2e-05,0.00017999999999999998,0.00023,4.7000000000000004e-05,6e-06,0.0085,0.00014000000000000001,5.4e-05
22,0.014,0.9,0.05743,0.0,0.028,0.00014000000000000001,87.7,2.134e-05,0.00059,4.8,0.19923,4.2,4e-07,0.0,0.75,0.021500000000000002,0.0014,0.029500000000000002,0.25666000000000005,0.214,1.32,0.000128,0.0015,0.0,4.2,1e-07,1.9e-05,3.8e-05,0.00057,0.00026000000000000003,4e-05,2.4999999999999998e-05,0.018000000000000002,0.00334,0.0005300000000000001
23,0.009,0.72,0.0,0.0,0.021500000000000002,6.7e-05,85.9,5.83e-06,0.00025,1.33,0.0,11.0,1.4e-06,0.00095,0.24,0.020300000000000002,0.00361,0.011,0.00095,0.14200000000000002,0.52,3.5e-05,0.0009699999999999999,0.0,10.4,2.2e-06,6e-05,2.6e-05,0.00035,0.00019,0.0001,1.51e-05,0.0364,6e-05,7.3e-05
24,0.099,0.56,0.001,0.0,0.00412,8.2e-05,75.8,4.33e-06,0.00026000000000000003,1.9,0.0015500000000000002,19.6,4e-07,0.0,0.25,0.0349,0.00037,0.0247,0.0025499999999999997,0.36,0.98,2.6e-05,0.0,0.0,14.8,0.0,3.5000000000000004e-05,4.9000000000000005e-05,0.00068,0.0003,0.00038,2.9e-05,0.00207,0.00033,0.00015
25,0.0085,0.0,0.01339,0.0,0.011,0.00013000000000000002,83.5,0.0,0.0007,1.9,0.00584,13.4,4e-07,0.0,0.1,0.008,0.0,0.017,0.01923,0.197,0.48,0.0,0.004,0.0,6.3,0.0,2e-05,3e-05,0.0002,8.1e-05,4e-05,3e-06,0.015,0.00055,4e-05
